cid,character,movement_type,src_slot,dst_slot,animation_hex,predicate_text,has_attack_cell,route_kind,root_decode_confidence,recovery_trust_status,recovery_trust_confidence,selection_score,selection_reason
002,Seong Mi-na,forward_diagonal,392,393,02EE,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,forward_step_candidate,258,260,0006,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,sidestep_down_candidate,358,360,016F,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
002,Seong Mi-na,sidestep_up_candidate,383,384,002D,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
003,Taki,back_diagonal,486,493,01A8,(back+down),True,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
003,Taki,backstep_candidate,273,274,01AC,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
003,Taki,eight_way_or_ambiguous,161,164,0139,(any:back|forward|down),False,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,132,source is not proven neutral or stance-root basic movement
003,Taki,forward_diagonal,327,329,0264,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
003,Taki,forward_step_candidate,273,277,01B9,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
003,Taki,sidestep_down_candidate,316,447,0145,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
003,Taki,sidestep_up_candidate,284,285,0210,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
004,Maxi,back_diagonal,324,333,00F1,(back+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
004,Maxi,backstep_candidate,266,267,0283,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
004,Maxi,eight_way_or_ambiguous,161,164,00D7,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
004,Maxi,forward_diagonal,344,345,009A,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
004,Maxi,forward_step_candidate,264,265,00FB,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
004,Maxi,sidestep_down_candidate,257,259,0066,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
004,Maxi,sidestep_up_candidate,298,302,0064,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
005,Voldo,back_diagonal,488,504,0307,(back+down),True,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,148,source is not proven neutral or stance-root basic movement
005,Voldo,backstep_candidate,256,257,00F7,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
005,Voldo,eight_way_or_ambiguous,161,164,00E7,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,forward_diagonal,3038,554,02B3,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,forward_step_candidate,287,289,021E,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,sidestep_down_candidate,256,262,004A,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,sidestep_up_candidate,354,355,01D7,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
006,Sophitia,backstep_candidate,259,260,015D,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,eight_way_or_ambiguous,161,164,00D0,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,forward_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
006,Sophitia,forward_step_candidate,259,260,015D,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,sidestep_down_candidate,257,262,012D,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,sidestep_up_candidate,259,260,015D,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
007,Siegfried,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
007,Siegfried,backstep_candidate,257,258,00CC,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
007,Siegfried,eight_way_or_ambiguous,161,164,006F,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
007,Siegfried,forward_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
007,Siegfried,forward_step_candidate,290,292,018D,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
007,Siegfried,sidestep_down_candidate,385,386,0213,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
007,Siegfried,sidestep_up_candidate,2941,520,0131,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
009,Hwang,back_diagonal,459,518,02A0,(back+up),False,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,148,source is not proven neutral or stance-root basic movement
009,Hwang,backstep_candidate,265,469,02E1,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
009,Hwang,eight_way_or_ambiguous,350,470,02E1,(back+forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
009,Hwang,forward_diagonal,447,448,02DE,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
009,Hwang,forward_step_candidate,372,373,01A3,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
009,Hwang,sidestep_down_candidate,517,519,02A0,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
009,Hwang,sidestep_up_candidate,426,473,02E1,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00b,Ivy,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
00b,Ivy,backstep_candidate,261,262,0272,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
00b,Ivy,eight_way_or_ambiguous,161,164,003D,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00b,Ivy,forward_diagonal,357,359,0100,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
00b,Ivy,forward_step_candidate,382,383,0151,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00b,Ivy,sidestep_down_candidate,325,327,0311,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00b,Ivy,sidestep_up_candidate,261,266,023C,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
00c,Kilik,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
00c,Kilik,backstep_candidate,272,275,0154,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
00c,Kilik,eight_way_or_ambiguous,161,164,00D0,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00c,Kilik,forward_diagonal,337,339,020F,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
00c,Kilik,forward_step_candidate,382,385,014D,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
00c,Kilik,sidestep_down_candidate,337,338,0210,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00c,Kilik,sidestep_up_candidate,2914,473,0283,(any:up),False,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,155,source is not proven neutral or stance-root basic movement
00d,Xianghua,back_diagonal,2972,550,00E0,(back+down),True,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00d,Xianghua,backstep_candidate,402,511,0256,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00d,Xianghua,eight_way_or_ambiguous,161,164,00E4,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00d,Xianghua,forward_diagonal,347,515,0256,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00d,Xianghua,forward_step_candidate,292,517,024A,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00d,Xianghua,sidestep_down_candidate,257,270,007B,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00d,Xianghua,sidestep_up_candidate,265,267,018A,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00f,Yoshimitsu,back_diagonal,545,544,0235,(back+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
00f,Yoshimitsu,backstep_candidate,257,258,00AD,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
00f,Yoshimitsu,eight_way_or_ambiguous,161,164,00A7,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00f,Yoshimitsu,forward_diagonal,345,349,02E4,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00f,Yoshimitsu,forward_step_candidate,305,306,00F9,(any:forward),True,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00f,Yoshimitsu,sidestep_down_candidate,257,477,00A9,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
00f,Yoshimitsu,sidestep_up_candidate,329,319,0162,(any:up),True,unresolved,high,unknown_from_static_bytecode,unresolved_static_data,155,offensive cells exist and no static return/recovery frame is known
011,Nightmare,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
011,Nightmare,backstep_candidate,256,263,012B,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
011,Nightmare,eight_way_or_ambiguous,161,164,0083,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
011,Nightmare,forward_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
011,Nightmare,forward_step_candidate,293,294,0371,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
011,Nightmare,sidestep_down_candidate,301,303,013C,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
011,Nightmare,sidestep_up_candidate,272,274,02C4,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
012,Astaroth,back_diagonal,265,488,01C1,(back+down),True,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
012,Astaroth,backstep_candidate,265,266,001F,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
012,Astaroth,eight_way_or_ambiguous,161,164,019D,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
012,Astaroth,forward_diagonal,372,373,0012,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
012,Astaroth,forward_step_candidate,276,284,0014,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
012,Astaroth,sidestep_down_candidate,301,316,0041,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
012,Astaroth,sidestep_up_candidate,337,338,002A,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
014,Cervantes,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
014,Cervantes,backstep_candidate,398,400,01CF,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
014,Cervantes,eight_way_or_ambiguous,161,164,0160,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
014,Cervantes,forward_diagonal,357,544,0231,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
014,Cervantes,forward_step_candidate,265,268,0273,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
014,Cervantes,sidestep_down_candidate,471,6,00BD,(any:down),False,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,155,source is not proven neutral or stance-root basic movement
014,Cervantes,sidestep_up_candidate,418,419,0018,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
015,Raphael,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
015,Raphael,backstep_candidate,257,258,007A,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
015,Raphael,eight_way_or_ambiguous,161,164,0110,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
015,Raphael,forward_diagonal,413,414,00AD,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
015,Raphael,forward_step_candidate,288,289,00AD,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
015,Raphael,sidestep_down_candidate,257,260,0183,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
015,Raphael,sidestep_up_candidate,2877,441,028A,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
016,Talim,back_diagonal,2919,393,015B,(back+down),True,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,148,source is not proven neutral or stance-root basic movement
016,Talim,backstep_candidate,256,257,01B8,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
016,Talim,eight_way_or_ambiguous,161,164,0166,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
016,Talim,forward_diagonal,421,422,0237,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
016,Talim,forward_step_candidate,257,258,0177,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
016,Talim,sidestep_down_candidate,256,266,01B5,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
016,Talim,sidestep_up_candidate,281,284,0094,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
017,Cassandra,back_diagonal,3118,325,04C1,(back+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,cell index is outside this KHD bank; shared/common cell semantics are not resolved
017,Cassandra,backstep_candidate,264,265,04B0,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
017,Cassandra,eight_way_or_ambiguous,161,164,04E2,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
017,Cassandra,forward_diagonal,362,363,0544,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
017,Cassandra,forward_step_candidate,285,286,043F,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
017,Cassandra,sidestep_down_candidate,264,272,012D,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
017,Cassandra,sidestep_up_candidate,420,421,0454,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
022,Setsuka,back_diagonal,558,549,039B,(back+down),True,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
022,Setsuka,backstep_candidate,317,318,05E9,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
022,Setsuka,eight_way_or_ambiguous,161,164,0306,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
022,Setsuka,forward_diagonal,413,417,05F6,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
022,Setsuka,forward_step_candidate,312,313,059E,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
022,Setsuka,sidestep_down_candidate,501,503,05E7,(any:down),False,measured_but_not_basic,high,unknown_from_static_bytecode,unknown,155,source is not proven neutral or stance-root basic movement
022,Setsuka,sidestep_up_candidate,315,316,05A2,(any:up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
023,Tira,back_diagonal,358,360,002A,(back+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
023,Tira,backstep_candidate,257,258,0231,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
023,Tira,eight_way_or_ambiguous,161,164,014C,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
023,Tira,forward_diagonal,358,361,0314,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
023,Tira,forward_step_candidate,295,296,0215,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
023,Tira,sidestep_down_candidate,257,267,026D,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
023,Tira,sidestep_up_candidate,305,307,0251,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
024,Zasalamel,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
024,Zasalamel,backstep_candidate,1945,1579,1491,(any:back),False,unresolved,failed,unknown_from_static_bytecode,unknown,113,root motion did not decode with high confidence
024,Zasalamel,eight_way_or_ambiguous,161,164,0075,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
024,Zasalamel,forward_diagonal,432,433,0150,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
024,Zasalamel,forward_step_candidate,264,265,013B,(any:forward),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
024,Zasalamel,sidestep_down_candidate,297,416,0236,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
024,Zasalamel,sidestep_up_candidate,264,267,01D6,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
028,Hilde,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
028,Hilde,backstep_candidate,292,293,072A,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cell: damage-bearing Mid cell has invalid active window 999-999
028,Hilde,eight_way_or_ambiguous,161,164,05C7,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
028,Hilde,forward_diagonal,353,355,070C,(forward+up),True,unresolved,high,unknown_from_static_bytecode,unknown,148,offensive cells exist and no static return/recovery frame is known
028,Hilde,forward_step_candidate,292,295,072C,(any:forward),True,unresolved,high,attack_followup_only,confirmed_static_data,155,offensive cell: damage-bearing Mid cell has invalid active window 999-999
028,Hilde,sidestep_down_candidate,323,324,0541,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
